hum,mq,ts,temp,gas_norm,rolling_mean_10,rolling_std_10,gas_diff,gas_diff_norm,hum_adjusted_gas,temp_hum,temp_gas,hum_gas
58,241,5976,21,0.19770303527481542,238.7,5.657836257005836,4.0,0.01687763641866513,380.78000000000003,1218,5061,13978
58,240,5981,21,0.19688269073010664,240.1,3.478505426182085,-1.0,-0.004149377421187659,379.20000000000005,1218,5040,13920
58,239,5987,21,0.19606234618539786,240.0,3.4960294938973933,-1.0,-0.004166666493055563,377.62,1218,5019,13862
58,243,5992,21,0.19934372436423298,240.1,3.5730472522267145,4.0,0.016736400973372343,383.94,1218,5103,14094
58,247,5997,21,0.2026251025430681,241.5,3.2058973436084086,4.0,0.016460904672390753,390.26,1218,5187,14326
58,240,6003,21,0.19688269073010664,241.2,3.190262963731291,-7.0,-0.028340079824288267,379.20000000000005,1218,5040,13920
58,243,6008,21,0.19934372436423298,241.6,3.1340424729412746,3.0,0.012499999479166688,383.94,1218,5103,14094
58,240,6013,21,0.19688269073010664,241.0,2.7487370837410783,-3.0,-0.012345678504293066,379.20000000000005,1218,5040,13920
58,240,6018,21,0.19688269073010664,241.0,2.7487370837410783,0.0,0.0,379.20000000000005,1218,5040,13920
58,238,6024,21,0.19524200164068908,241.1,2.601281735345958,-2.0,-0.008333332986111126,376.04,1218,4998,13804
58,241,6029,21,0.19770303527481542,241.1,2.601281735345958,3.0,0.01260504148718313,380.78000000000003,1218,5061,13978
58,237,6034,21,0.1944216570959803,240.8,2.8982753492340776,-4.0,-0.016597509684750635,374.46000000000004,1218,4977,13746
58,246,6039,21,0.2018047579983593,241.5,3.2403703492004863,9.0,0.03797468194199654,388.68,1218,5166,14268
58,247,6045,21,0.2026251025430681,241.9,3.6651512019711943,1.0,0.0040650404851609555,390.26,1218,5187,14326
58,240,6050,21,0.19688269073010664,241.2,3.2249030993159735,-7.0,-0.028340079824288267,379.20000000000005,1218,5040,13920
58,243,6055,21,0.19934372436423298,241.5,3.2403703492004863,3.0,0.012499999479166688,383.94,1218,5103,14094
58,244,6061,21,0.20016406890894176,241.6,3.3065591380332195,1.0,0.004115226168097688,385.52000000000004,1218,5124,14152
58,243,6066,21,0.19934372436423298,241.9,3.2812599206165034,-1.0,-0.0040983604877721114,383.94,1218,5103,14094
58,239,6071,21,0.19606234618539786,241.8,3.3598941782244394,-4.0,-0.016460904672390753,377.62,1218,5019,13862
58,242,6076,21,0.1985233798195242,242.2,3.0840089349884448,3.0,0.012552300730029258,382.36,1218,5082,14036
59,235,6082,21,0.18951612903225806,241.6,3.8355066303017624,-7.0,-0.028925618639437246,373.65,1239,4935,13865
59,239,6087,21,0.19274193548387097,241.8,3.6147844564571567,4.0,0.01702127587143507,380.01,1239,5019,14101
59,240,6092,21,0.1935483870967742,241.2,3.326659986629904,1.0,0.004184100243343086,381.59999999999997,1239,5040,14160
59,241,6097,21,0.19435483870967743,240.6,2.63312235441336,1.0,0.004166666493055563,383.18999999999994,1239,5061,14219
59,243,6103,21,0.19596774193548386,240.9,2.726414006219753,2.0,0.008298754842375317,386.36999999999995,1239,5103,14337
59,243,6108,21,0.19596774193548386,240.9,2.726414006219753,0.0,0.0,386.36999999999995,1239,5103,14337
59,241,6113,21,0.19435483870967743,240.6,2.5033311140647556,-2.0,-0.008230452336195376,383.18999999999994,1239,5061,14219
59,240,6119,21,0.1935483870967742,240.3,2.3593784492202174,-1.0,-0.004149377421187659,381.59999999999997,1239,5040,14160
59,239,6124,21,0.19274193548387097,240.3,2.3593784492202174,-1.0,-0.004166666493055563,380.01,1239,5019,14101
59,245,6129,21,0.1975806451612903,240.6,2.7568097504140585,6.0,0.025104601460058516,389.54999999999995,1239,5145,14455
59,246,6134,21,0.19838709677419356,241.7,2.4517567397865436,1.0,0.00408163248646398,391.14,1239,5166,14514
59,241,6140,21,0.19435483870967743,241.9,2.282785822430276,-5.0,-0.02032520242580478,383.18999999999994,1239,5061,14219
59,247,6145,21,0.19919354838709677,242.6,2.6749870196942767,6.0,0.024896264527125952,392.72999999999996,1239,5187,14573
59,240,6150,21,0.1935483870967742,242.5,2.7588242262037035,-7.0,-0.028340079824288267,381.59999999999997,1239,5040,14160
59,241,6155,21,0.19435483870967743,242.3,2.790858091853886,1.0,0.004166666493055563,383.18999999999994,1239,5061,14219
59,240,6161,21,0.1935483870967742,242.0,2.8674417556769582,-1.0,-0.004149377421187659,381.59999999999997,1239,5040,14160
59,244,6166,21,0.1967741935483871,242.3,2.907843798338035,4.0,0.01666666597222225,387.96,1239,5124,14396
59,240,6171,21,0.1935483870967742,242.3,2.907843798338035,-4.0,-0.016393441951088446,381.59999999999997,1239,5040,14160
59,241,6177,21,0.19435483870967743,242.5,2.718251071712513,1.0,0.004166666493055563,383.18999999999994,1239,5061,14219
59,242,6182,21,0.19516129032258064,242.2,2.5733678754114555,1.0,0.004149377421187659,384.78,1239,5082,14278
59,244,6187,21,0.1967741935483871,242.0,2.3094010767536357,2.0,0.008264462468410642,387.96,1239,5124,14396
59,243,6192,21,0.19596774193548386,242.2,2.2997584414164782,-1.0,-0.0040983604877721114,386.36999999999995,1239,5103,14337
59,247,6198,21,0.19919354838709677,242.2,2.2997584414164782,4.0,0.016460904672390753,392.72999999999996,1239,5187,14573
59,251,6203,21,0.20241935483870968,243.3,3.4657049948153764,4.0,0.016194331328164724,399.09,1239,5271,14809
59,246,6208,21,0.19838709677419356,243.8,3.457680661300658,-5.0,-0.019920317931461436,391.14,1239,5166,14514
59,248,6213,21,0.2,244.6,3.4058772731818694,2.0,0.008130080970321911,394.31999999999994,1239,5208,14632
59,243,6219,21,0.19596774193548386,244.5,3.4399612400883433,-5.0,-0.020161289509625424,386.36999999999995,1239,5103,14337
59,244,6224,21,0.1967741935483871,244.9,3.0713731999400533,1.0,0.004115226168097688,387.96,1239,5124,14396
59,251,6229,21,0.20241935483870968,245.9,3.2812599206163204,7.0,0.02868852341440478,399.09,1239,5271,14809
59,257,6235,21,0.20725806451612902,247.4,4.501851470966423,6.0,0.023904381517753724,408.62999999999994,1239,5397,15163
59,243,6240,21,0.19596774193548386,247.3,4.595891885390488,-14.0,-0.054474706051567866,386.36999999999995,1239,5103,14337
59,250,6245,21,0.20161290322580644,248.0,4.396968652754874,7.0,0.02880658317668382,397.49999999999994,1239,5250,14750
59,242,6250,21,0.19516129032258064,247.5,4.790035954397449,-8.0,-0.03199999872000005,384.78,1239,5082,14278
59,240,6256,21,0.1935483870967742,246.4,5.146735750829358,-2.0,-0.008264462468410642,381.59999999999997,1239,5040,14160
