hum,mq,ts,temp
58,196,6514,21
58,194,6519,21
58,199,6525,21
58,192,6530,21
58,195,6535,21
58,188,6540,21
59,186,6546,20
59,177,6551,20
59,182,6556,20
59,180,6562,20
59,183,6567,20
59,180,6572,20
59,182,6577,20
59,182,6583,20
59,180,6588,20
59,176,6593,20
59,179,6598,20
59,182,6604,20
59,183,6609,20
59,175,6614,20
59,177,6620,20
59,176,6625,20
59,180,6630,20
59,176,6635,20
59,183,6641,20
59,174,6646,20
59,173,6651,20
59,168,6656,20
59,174,6662,20
59,176,6667,20
59,176,6672,20
59,175,6678,20
59,176,6683,20
59,174,6688,20
59,174,6693,20
59,172,6699,20
59,176,6704,20
59,175,6709,20
59,166,6714,20
59,172,6720,20
59,169,6725,20
59,165,6730,20
59,165,6736,20
59,169,6741,20
59,172,6746,20
59,174,6751,20
59,169,6757,20
59,165,6762,20
59,173,6767,20
59,174,6772,20
59,172,6778,20
59,169,6783,20
59,175,6788,20
59,172,6794,20
59,175,6799,20
59,175,6804,20
59,163,6809,20
59,174,6815,20
59,167,6820,20
59,168,6825,20
59,166,6831,20
59,172,6836,20
59,170,6841,20
59,173,6846,20
59,172,6852,20
59,166,6857,20
59,176,6862,20
59,174,6867,20
59,167,6873,20
59,165,6878,20
59,161,6883,20
59,167,6889,20
59,160,6894,20
59,168,6899,20
59,159,6904,20
59,160,6910,20
59,168,6915,20
59,162,6920,20
59,159,6925,20
59,163,6931,20
59,166,6936,20
59,160,6941,20
59,167,6947,20
59,160,6952,20
59,167,6957,20
59,153,6962,20
59,160,6968,20
59,149,6973,20
59,156,6978,20
59,162,6983,20
59,165,6989,20
59,161,6994,20
59,154,6999,20
59,154,7005,20
59,156,7010,20
59,151,7015,20
59,160,7020,20
59,162,7026,20
59,157,7031,20
59,161,7036,20
59,174,7041,20
59,160,7047,20
59,160,7052,20
59,175,7057,20
59,169,7063,20
59,170,7068,20
59,174,7073,20
59,182,7078,20
59,172,7084,20
59,170,7089,20
59,188,7094,20
59,176,7099,20
59,170,7105,20
59,168,7110,20
59,167,7115,20
59,171,7121,20
59,173,7126,20
59,167,7131,20
59,172,7136,20
59,169,7142,20
59,170,7147,20
59,185,7152,20
59,171,7157,20
59,166,7163,20
59,173,7168,20
59,175,7173,20
59,170,7179,20
59,170,7184,20
59,181,7189,20
59,172,7194,20
59,176,7200,20
59,176,7205,20
59,168,7210,20
59,172,7215,20
59,176,7221,20
59,174,7226,20
59,175,7231,20
59,170,7237,20
59,169,7242,20
59,173,7247,20
59,176,7252,20
59,172,7258,20
59,171,7263,20
59,173,7268,20
59,172,7274,20
59,170,7279,20
59,176,7284,20
59,165,7289,20
60,175,7295,20
60,172,7300,20
60,174,7305,20
60,179,7310,20
60,186,7316,20
60,174,7321,20
60,171,7326,20
60,172,7332,20
60,176,7337,20
60,175,7342,20
60,180,7347,20
60,176,7353,20
60,173,7358,20
60,177,7363,20
60,176,7368,20
60,176,7374,20
60,173,7379,20
60,176,7384,20
60,173,7390,20
60,177,7395,20
60,176,7400,20
60,176,7405,20
60,169,7411,20
60,176,7416,20
60,181,7421,20
60,179,7426,20
60,180,7432,20
60,180,7437,20
60,180,7442,20
60,175,7448,20
60,177,7453,20
61,180,7458,20
61,179,7463,20
61,183,7469,20
61,177,7474,20
61,181,7479,20
61,186,7484,20
61,186,7490,20
61,196,7495,20
61,192,7500,20
62,189,7506,20
62,198,7511,20
62,203,7516,20
63,196,7521,20
61,200,7527,21
61,203,7532,21
62,202,7537,21
62,215,7542,21
62,214,7548,21
62,215,7553,21
62,207,7558,21
62,196,7564,21
62,192,7569,21
62,194,7574,21
62,193,7579,21
62,201,7585,21
62,208,7590,21
62,201,7595,21
62,210,7600,21
62,206,7606,21
62,203,7611,21
62,202,7616,21
62,195,7622,21
62,198,7627,21
62,194,7632,21
61,203,7637,21
61,194,7643,21
61,191,7648,21
61,196,7653,21
61,191,7658,21
61,191,7664,21
61,205,7669,21
61,201,7674,21
61,208,7680,21
61,207,7685,21
61,214,7690,21
61,212,7695,21
61,208,7701,21
62,217,7706,21
62,215,7711,21
62,224,7717,21
62,210,7722,21
62,211,7727,21
62,209,7732,21
62,213,7738,21
62,218,7743,21
62,224,7748,21
62,219,7753,21
62,227,7759,21
62,209,7764,21
61,211,7769,21
61,215,7775,21
61,220,7780,21
61,215,7785,21
61,211,7790,21
61,220,7796,21
62,229,7801,21
62,224,7806,21
61,209,7811,21
61,230,7817,21
62,219,7822,21
62,224,7827,21
62,229,7833,21
62,227,7838,21
62,218,7843,21
62,220,7848,21
62,234,7854,21
62,229,7859,21
62,224,7864,21
62,227,7869,21
62,221,7875,21
62,228,7880,21
62,211,7885,21
62,223,7891,21
62,213,7896,21
62,233,7901,21
62,240,7906,21
62,244,7912,21
62,240,7917,21
62,237,7922,21
62,234,7927,21
62,226,7933,21
62,239,7938,21
62,237,7943,21
62,235,7949,21
62,221,7954,21
62,209,7959,21
62,208,7964,21
62,225,7970,21
62,221,7975,21
61,236,7980,21
62,240,7985,21
62,226,7991,21
61,218,7996,21
61,205,8001,21
61,205,8007,21
61,207,8012,21
61,209,8017,21
61,219,8022,21
61,225,8028,21
61,218,8033,21
61,208,8038,21
61,205,8043,21
61,203,8049,21
61,197,8054,21
61,208,8059,21
60,222,8065,21
60,208,8070,21
61,208,8075,21
60,201,8080,21
60,203,8086,21
60,204,8091,21
60,198,8096,21
60,198,8102,21
60,195,8107,21
60,204,8112,21
60,219,8117,21
60,238,8123,21
61,241,8128,21
61,226,8133,21
61,222,8138,21
61,220,8144,21
61,226,8149,21
61,224,8154,21
61,241,8160,21
61,234,8165,21
61,220,8170,21
61,223,8175,21
61,229,8181,21
61,230,8186,21
61,228,8191,21
61,238,8196,21
61,233,8202,21
61,235,8207,21
61,243,8212,21
62,247,8218,21
62,231,8223,21
62,237,8228,21
62,232,8233,21
62,230,8239,21
62,252,8244,21
62,242,8249,21
62,240,8254,21
62,242,8260,21
62,240,8265,21
62,258,8270,21
62,250,8276,21
63,237,8281,21
63,239,8286,21
63,240,8291,21
63,243,8297,21
63,224,8302,21
63,223,8307,21
62,222,8312,21
62,224,8318,21
62,212,8323,21
62,210,8328,21
62,211,8334,21
62,208,8339,21
62,227,8344,21
62,238,8349,21
62,239,8355,21
62,240,8360,21
62,239,8365,21
63,238,8370,21
63,235,8376,21
